																	
id	TaskName	TaskObjective	Question	Examples	Criteria	Notes											
E10	'Consonant- vowel- consonant combinations	"The student will be able to repeat sound combinations (words) in which the model requires the student to repeat consonant- vowel-consonant combinations (e.g., ""mom, “dad, top, pig”)"""	'Is the student able to repeat sound combinations (words) in which the model requires the student to repeat consonant- vowel- consonant combinations?	"""mom, “dad, top, hat, cat, sit, hop, pig”"	"'2= can repeat at least 12 consonant-vowel- consonant sound combinations (words) without breaks between the sounds, 1= can repeat at least 3 consonant-vowel- consonant sound combinations (words) without breaks between the sounds"	'New											
E11	'Imitates consonant blends	"'When a word which contains consonant blends are modeled for the student, he will be able to accurately imitate the words."	"'Can the student imitate words which include consonant blends (e.g., STReet, againST, SPLash, riNG)?"	"2 consonant blends “St, & 3 consonant blends ""str"""	"'4= readily and accurately imitates almost any word with consonant blends in any position, 3= 15 words with consonant blends can be accurately imitated, 2= 5 words, 1=2 words"												
E12	'Imitation of words on request	"The student will imitate a word when you say ""Say II"	'Can the student imitate words upon request (including the final sounds of the word)?	'	"'4= readily and accurately imitates almost any word , 3= closely approximates 15 words, 2= closely approximates 5 words, 1= closely approximates 2 words"	'											
E13	'Imitation of phrases on request	"The student will imitate a phrase when you say ""Say "",'Can the student imitate phrases upon request?"""	'		"'4= readily and accurately imitates phrases of 6 or more words 3= 4- word phrases, 2= 3-word phrases, 1= 2-word phrases"												
E14	'Imitation of number sequences on request	"'NOT_SELECTED The student will imitate a sequence of numbers when you say ""Say 11"	"'Can the student imitate a sequence of numbers upon request (e.g., a phone number)?"	'Repeats a phone number	"'4= readily and accurately imitates sequence of 7 or more numbers 3= 4 numbers, 2= 3 numbers, 1= 2 numbers"	'											
E15	'Imitation of short & fast VS. elongated/slow words	'The student will be able to repeat words matching the speed of the presented word.	"'If a word is presented in a deliberately slow or fast manner, will the child match the speed that words are said to him?"	"'Says the word 'Movie' at a typical speed, slowly as in ""mooooveeee and quickly"""	"'2= can imitate saying words both at a faster and slower than a normal rate of speaking, 1= can imitate saying words at a faster or slower than normal rate of speaking"	'New											
E16	'Imitation of loud VS. soft sounds and words	'The student will be able to repeat words matching the volume of the presented word.	"'If a word is presented in a deliberately loud or quiet (whispered) manner, will the child match the volume that words are said to him?"	"Says ""apple in a loud voice vs. quiet voice (e.g. whispers)"""	"'2= readily imitates sounds or words matching the volume of the model, 1= requires only gestural prompts to match the volume of the model"	'New											
E17	'Imitation of low VS. high sounds and words	'The student will be able to repeat words matching the pitch/tone of the presented word.	"'If a word is presented in a deliberately high or low pitched voice, will the child match the pitch/tone that words are said to him?"	"'Says ""apple in a high pitched voice vs. a low pitched voice"""	"'2= readily imitates sounds or words matching the pitch/tone of the model, 1= requires only gestural prompts to match the pitch/tone of the model"	'New											
E18	'Repeat short message to another person	'The student will be able to go to a person and repeat a short statement that he was told to say to the person.	'Is the student able to deliver a short message to others?	"'Mom asks child to tell his Dad ""I want pizza and child walks to his Dad and says ""I want pizza"""	"'2= can repeat a three-word phrase after going at least ten feet to deliver the message, 1= can repeat a two-word phrase after going at least five feet to deliver the message"	'New											
E19	'Spontaneous limitation of words	'The student will spontaneously imitate words.	'Does the child spontaneously imitate words?	'	"'4= accurately imitates at least 20 words per day, 3= 15 words, 2= 5 words, 1= 2 words per day"	'											
E20	'Spontaneous limitation of phrases	'The student will spontaneously imitate phrases.	'Does the child spontaneously imitate phrases?	'	"'4= accurately imitates phrases of 6 or more words at least 3 times per day, 3= 4-word phrases 3 times per day, 2= 3-word phrases 3 times per day, 1= 2-word phrases at least 3 times per day"	'											
F1	'Requests by indicating	"'The student will be able to specifically indicate items and activities which he wants by pointing to, pulling to, or standing by the particular items or activities (without using words or sign language)."	"'Does the student indicate specific items and activities which he wants by pointing to, pulling to, or standing by the particular items and activities (without using words or sign language)?"	'	"'2= a total of at least 5 requests per day which include at least 3 different items or activities, 1= requests 1 item or activity at least once per day"	"'Note: This task should also be scored a ""2 if the student spontaneously requests at least 3 items or activities (as defined in F5) at least 5 times per day."""											
F2	'Multiply controlled requests	'The student will ask for what he wants when the reinforcer is present and a word or a sign given.	"'If you ask ""What do you want? with the reinforcer present and an imitative prompt (word or a sign) will the student ask for the item?"""	"'With an apple present, instructor says ""What do you want? apple student then signs (ASL) or says ""apple"""	"'4= 10 or more items or activities, 3=6 items or activities, 2=4 items or activities, 1= item or activity"	'											
F3	"'Requesting with the reinforcer present and when asked ""What do you want?"",'The student will ask for what he wants with the reinforcer present using either words or signs."""	'Does the student ask for reinforcing items or events using either words or signs?	"'With an apple present, instructor asks ""What do you want? then the student signs (ASL) or says ""apple"""		"'4= 10 or more items or activities, 3=6 items or activities, 2= 4 items or activities, 1=1 item or activity"												
F4	"'Requesting when asked ""What do you want?"",'The student will ask for items that he wants with no reinforcers present."""	"'If you ask ""What do you want, will the student ask for an item or an activity?"""	'		"'4= 10 or more items or activities, 3=6 items or activities, 2= 4 items or activities, 1=2 items or activities"												
F5	'Spontaneous requests with items present (No prompts)	'The student will spontaneously ask for at least 10 items that he wants using a specific response (Spoken word or with an American Sign Language sign) when the items are present.	'How many specific items or activities can the student spontaneously ask for using a specific response (Spoken word or with an American Sign Language sign) when the items are present?	'Student spontaneously asks for a cookie when the cookie is present and without having been asked what he wants.	"'4= 10 or more specific items or activities when the items or items associated with the activity are present, 3= 6 specific items or activities, 2= 4 specific items or activities, 1= specific items or activities (items present)"	'Modified											
F6	'Spontaneous requests with items not present (No prompts)	'The student will spontaneously ask for at least 10 items that he wants using a specific response (Spoken word or with an American Sign Language sign) when the items are not present.	'How many specific items or activities can the student spontaneously ask for using a specific response (Spoken word or with an American Sign Language sign) when the items are not present?	'Student spontaneously asks for a cookie when the cookie is not present and without having been asked what he wants.	"'4= 10 or more specific items or activities when the items or items associated with the activity are not present, 3= 6 specific items or activities, 2= 4 specific items or activities, 1= 2 specific items or activities (items not present)"	"'New. Note: Items F2 - F5 should each be scored a ""4 if the student receives a score of ""4"" on this task."""											
F7	'Requests with eye contact	"'The student will make eye contact when asking a person for items, actions or information."	"'Does the student look at people when he is asking for items, actions or information?"	'	"'2= makes eye contact with people at least 80% of the times that he makes requests , 1 = makes eye contact with people at least 50% of the time that he makes requests"	'New											
F8	'Request others to perform an action	'The student will be able to ask others to perform specified actions.	'Does the student ask others to perform specified actions?	"Ask others to ""come with them ""stand up”, “sing”,  “open”, “push”, “up"" (as in pick up), ""Help me put this away”, “Show me how you do that.”"	"'4= can request 10 or more different actions, 3= 6 actions, 2= 3 actions, 1= requests 1 action"												
F9	'Requests missing items needed for a task	"'When only given some of the items necessary to do an activity, the student will ask for the missing item."	"'When an item is needed to complete a task, does the student ask for the missing item?"	"'Given a bowl of cereal without a spoon, given a cup without juice"	"'4= 10 or more, 3= at least 6, 2= at least 3, 1= can ask for 1 missing item"	'											
F10	'Requests with head movements or by saying Yes/No	"'Student will be able to ask for or reject offered items and activities using head movements to specify ""Yes or ""No."""	"'Can the student indicate he wants or does not want an item or activity by saying or using head movements to specify ""Yes or ""No""?"""	'	"'2= both yes and no, 1= only one of the two"	'											
F11	'Requests using sentences	"'The student will ask questions in a sentence form to obtain items, actions, or information."	"'Can the student ask for items, actions, or information using a sentence?"	"'I would like some juice, I need a pencil, can I have popcorn, give me a banana, | want a ride, juice please"	"'2= usually uses three or more words to ask for items or activities, 1= sometimes uses three or more words to ask for items or activities"	'Modified											
F12	'Requests help	'The student will ask for help when he needs assistance.	"'Can the student ask for help (e.g., ""Help me)?"""	"""Help, Help me with this, Turn the book so | can see it, fix (adjust) my coat”"	"'2= asks for help in a wide variety of situations, 1= asks for help in only 1 or 2 specific situations (e.g., tie shoes, open containers)"	'New											
F13	'Acquires novel requests without intensive training	"'The student will be able to acquire new requests for many new objects, actions, or information after being required to request those items less than five times."	"'Is the student able to acquire new requests for many new objects, actions, or information after being required to request those items less than five times?"	'	"'2= readily learns new requests without direct training, 1= readily able to learn new requests for objects, actions, or information when asked to request the items less than five times"												
F14	'Requests attention	'The student will be able to ask others to attend to his actions.	"'Does the student ask others to attend to his actions (e.g., ""Mommy, look at me, ""Watch this"")?"""	"Call a person's name to get attention, raise hand, say ""Mommy, look at me, ""Watch this”,” Look what I did"""	"'4= 10 or more requests per day, 3= 6 request per day, 2=4 request per day, 1= 2 requests per day"												
F15	'Request others to remove an item or stop an activity	'The student will be able to ask others to remove an item or stop an activity.	'Can the student ask others to remove an item or stop activity?	"Ask others to turn off music, a fan, to stop running, ""let go."""	"2= can do spontaneously, 1= can do in contrived situations"""												
F16	'Requests using adjectives	"'The student will be able to ask for items using adjectives (e.g., big horse)."	"'Can the student ask for items using adjectives (e.g., big horse)?"	"'While playing with a toy farm set the student asks for the ""big horse"",'2= Spontaneously uses at least 4 adjectives with a noun when requesting an item"	"1= uses at least 2 adjectives with or without a noun in contrived situations"""	'See Appendix 5: Adjectives List											
F17	'Requests using prepositions	"'The student will be able to ask for items using prepositions (e.g., in the box)."	"'Can the student ask for items using prepositions (e.g., in the box)?"	"While playing with dolls, the student asks for a doll to be put ""in the cradle"""	",'2= Spontaneously uses at least 4 prepositions with a noun when requesting an item, 1= uses at least 2 prepositions with or without a noun in contrived situations"""	'See Appendix 9: Preposition List											
F18	'Requests future items or events	'The student will be able to ask for items or actions which he may be able to obtain in the future.	'Does the student ask for items or actions which he may want to obtain in the future?	'In the morning the student asks to watch a video tape after lunch.	"'2= Spontaneously requests items or activities one or more days in advance, 1= Spontaneously requests to have items or participate in activities after completion of an activity or later in the day"	'											
F19	"'Requests information using ""What"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""What questions?"""	"'Student sees an unfamiliar object and asks ""What is it? or ""What does it do?"""		"2= spontaneously asks ""What questions in non-training situations when unknown items are present, 1= can ask ""What"" questions when unknown items are presented in training situations (or otherwise prompted)"""	'Modified											
F20	"'Requests information using ""Where"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""Where questions?"""	"'Parent says ""We're going out to eat and student asks ""Where are we going?"" Parent says ""Get your shoes"" and student asks ""Where are my shoes?"""		"2= spontaneously asks ""Where questions in non-training situations when unknown items or situations are present, 1= can ask ""Where"" questions when unknown items or situations are presented in training situations (or otherwise prompted)"""	'Modified											
F21	"'Requests information using ""Who/Whose"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""Who or ""Whose"" questions?"""	"""Whose turn?, ""Whose shoe is this? Who is it?"""		"2= spontaneously asks ""Who questions in non-training situations when unknown items are present, 1 = can ask ""Who"" questions when unknown items are presented in training situations (or otherwise prompted)"""												
F22	'Requests using adverbs	"'The student will be able to ask for actions using adverbs (e.g., push me fast, walk quietly)."	"'Can the student ask for actions using adverbs (e.g., push me fast, walk quietly)?"	"While riding in a wagon the student says ""push me fast, ""Let's talk quietly”, ""throw it harder"""	"'2= Spontaneously uses at least 4 adverbs with a noun when requesting an action, 1= uses at least 2 adverbs with or without a action in contrived situations"	'Modified. See Appendix 12: Adverbs List											
F23	'Requests using pronouns	"'The student will be able to ask for items using pronouns (e.g., | want your hat)."	"'Can the student ask for items using pronouns (e.g., I want your hat)?"	"'While playing dress up, the student says ""I want your hat"",'2= Spontaneously uses at least 4 pronouns with a noun when requesting an item"	"uses at least 2 pronouns with or without a noun in contrived situations"""	'See Appendix 10 : Pronouns List											
F24	"'Requests information using ""Which"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""Which questions?"""	'		"2= spontaneously asks ""Which questions in non-training situations when unknown items are present, 1= can ask ""Which"" questions when unknown items are presented in training situations (or otherwise prompted)"""	'											
F25	"'Requests information using ""When"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""When questions?"""	'		"2= spontaneously asks ""When questions in non-training situations when unknown items are present,  can ask ""When"" questions when unknown items are presented in training situations (or otherwise prompted)"""	'											
F26	"'Requests information using ""How"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""How questions?"""	"""Show me how you do that"","		"2= spontaneously asks ""How"" questions in non-training situations when unknown items are present, 1= can ask ""How"" questions when unknown items are presented in training situations (or otherwise prompted)"""												
F27	"Requests information using ""Can, “Do”, “Does”,   or “Will"""	'The student will ask questions to obtain information.	'Does the student ask for information using questions?	"'Do.. will..., can does... Can (I get shoes at a gas station)"	"2= spontaneously uses at least 2 forms of non ""Wh-type of questions, 1= spontaneously uses at least 1 form of non-""Wh"" question"""												
F28	"'Requests information using ""Why"",'The student will ask questions to obtain information."""	"'Does the student ask for information using ""Why questions?"""	'		"2= spontaneously asks ""Why questions in non-training situations when unknown items are present, 1= can ask ""Why"" questions when unknown items are presented in training situations (or otherwise prompted)"""												
F29	'Spontaneous requests	"'The student will spontaneously request objects, actions, or information throughout the day."	"'Does the student spontaneously request objects, actions, or information throughout the day?"	'	"'2= spontaneously requests objects, actions, or information at least 20 times per day, 1= spontaneously requests objects, actions, or information at least 10 times per day"												
